song_name,popularity,available_markets,artist_name,played_at,timestamp
BRNBQ,59,169,Sfera Ebbasta,2022-05-11T21:47:01.859Z,2022-05-11
Wow.,77,182,Post Malone,2022-05-11T21:42:24.847Z,2022-05-11
3 PALI,65,182,Lazza,2022-05-11T21:39:54.415Z,2022-05-11
Myself,61,182,Post Malone,2022-05-11T21:36:41.483Z,2022-05-11
NESSUNO (feat. Geolier),68,182,Lazza,2022-05-11T21:34:02.328Z,2022-05-11
I Love It (& Lil Pump),70,178,Kanye West,2022-05-11T21:31:22.320Z,2022-05-11
Tell The Vision,53,183,Kanye West,2022-05-11T21:29:14.329Z,2022-05-11
No Option,66,183,Post Malone,2022-05-11T21:27:22.241Z,2022-05-11
all I know (feat. Trippie Redd),61,183,Machine Gun Kelly,2022-05-11T21:24:19.563Z,2022-05-11
make up sex (feat. blackbear),78,182,Machine Gun Kelly,2022-05-11T21:22:10.064Z,2022-05-11
WHATS POPPIN,78,183,Jack Harlow,2022-05-11T21:20:07.083Z,2022-05-11
First Class,74,182,Jack Harlow,2022-05-11T21:17:46.451Z,2022-05-11
Dua Lipa,80,182,Jack Harlow,2022-05-11T21:14:51.481Z,2022-05-11
Better Now,79,178,Post Malone,2022-05-11T21:12:35.871Z,2022-05-11
Congratulations,80,183,Post Malone,2022-05-11T21:08:43.673Z,2022-05-11
Sunflower - Spider-Man: Into the Spider-Verse,78,182,Post Malone,2022-05-11T21:05:02.886Z,2022-05-11
rockstar (feat. 21 Savage),82,178,Post Malone,2022-05-11T21:02:24.562Z,2022-05-11
Circles,83,182,Post Malone,2022-05-11T20:58:46.199Z,2022-05-11
Baby Mama,28,183,Vipra,2022-05-11T20:53:32.535Z,2022-05-11
Lo-fi Drill,53,183,Tedua,2022-05-11T20:50:33.932Z,2022-05-11
